support,itemsets
0.01539250897896357,frozenset({'Instant food products'})
0.07850179579271421,frozenset({'UHT-milk'})
0.0310415597742432,frozenset({'baking powder'})
0.11954848640328374,frozenset({'beef'})
0.0797845048742945,frozenset({'berries'})
0.0620831195484864,frozenset({'beverages'})
0.15879938429964083,frozenset({'bottled beer'})
0.21369933299127758,frozenset({'bottled water'})
0.13596716264751155,frozenset({'brown bread'})
0.12647511544381734,frozenset({'butter'})
0.06490507952796305,frozenset({'butter milk'})
0.022832221652129298,frozenset({'cake bar'})
0.01693175987685993,frozenset({'candles'})
0.053873781426372495,frozenset({'candy'})
0.16521292970754234,frozenset({'canned beer'})
0.029502308876346844,frozenset({'canned fish'})
0.02052334530528476,frozenset({'canned vegetables'})
0.04386865059004618,frozenset({'cat food'})
0.0107747562852745,frozenset({'cereals'})
0.044638276038994354,frozenset({'chewing gum'})
0.10056439199589533,frozenset({'chicken'})
0.08645459209851206,frozenset({'chocolate'})
0.01539250897896357,frozenset({'chocolate marshmallow'})
0.18547973319651104,frozenset({'citrus fruit'})
0.018727552591072345,frozenset({'cling film/bags'})
0.11493073370959467,frozenset({'coffee'})
0.023858388917393534,frozenset({'condensed milk'})
0.08850692662904053,frozenset({'cream cheese '})
0.12083119548486403,frozenset({'curd'})
0.011800923550538737,frozenset({'curd cheese'})
0.08645459209851206,frozenset({'dessert'})
0.03258081067213956,frozenset({'detergent'})
0.018727552591072345,frozenset({'dish cleaner'})
0.034120061570035914,frozenset({'dishes'})
0.01718830169317599,frozenset({'dog food'})
0.1331452026680349,frozenset({'domestic eggs'})
0.01026167265264238,frozenset({'female sanitary products'})
0.016418676244227808,frozenset({'finished products'})
0.03642893791688045,frozenset({'flour'})
0.01718830169317599,frozenset({'flower (seeds)'})
0.1375064135454079,frozenset({'frankfurter'})
0.023088763468445357,frozenset({'frozen dessert'})
0.025910723447922012,frozenset({'frozen fish'})
0.06285274499743458,frozenset({'frozen meals'})
0.018471010774756286,frozenset({'frozen potato products'})
0.10261672652642381,frozenset({'frozen vegetables'})
0.12493586454592098,frozenset({'fruit/vegetable juice'})
0.05489994869163674,frozenset({'grapes'})
0.0633658286300667,frozenset({'ham'})
0.08029758850692663,frozenset({'hamburger meat'})
0.05336069779374038,frozenset({'hard cheese'})
0.039250897896357106,frozenset({'herbs'})
0.011544381734222679,frozenset({'house keeping products'})
0.05233453052847614,frozenset({'hygiene articles'})
0.05643919958953309,frozenset({'ice cream'})
0.015135967162647512,frozenset({'instant coffee'})
0.02642380708055413,frozenset({'liquor'})
0.01718830169317599,frozenset({'liquor (appetizer)'})
0.012314007183170857,frozenset({'liver loaf'})
0.06541816316059518,frozenset({'long life bakery product'})
0.11698306824012314,frozenset({'margarine'})
0.018984094407388404,frozenset({'mayonnaise'})
0.06362237044638276,frozenset({'meat'})
0.05900461775269369,frozenset({'misc. beverages'})
0.023345305284761416,frozenset({'mustard'})
0.08132375577219086,frozenset({'napkins'})
0.13981528989225245,frozenset({'newspapers'})
0.05566957414058492,frozenset({'oil'})
0.07619291944586967,frozenset({'onions'})
0.3766033863519754,frozenset({'other vegetables'})
0.03181118522319138,frozenset({'packaged fruit/vegetables'})
0.030271934325295024,frozenset({'pasta'})
0.1775269368907132,frozenset({'pastry'})
0.02180605438686506,frozenset({'pet care'})
0.019753719856336584,frozenset({'photo/film'})
0.033350436121087734,frozenset({'pickled vegetables'})
0.17060030785017957,frozenset({'pip fruit'})
0.012057465366854798,frozenset({'popcorn'})
0.13237557721908672,frozenset({'pork'})
0.029758850692662903,frozenset({'pot plants'})
0.038481272447408926,frozenset({'processed cheese'})
0.039763981528989224,frozenset({'red/blush wine'})
0.012570548999486916,frozenset({'rice'})
0.02052334530528476,frozenset({'roll products '})
0.3496664956387891,frozenset({'rolls/buns'})
0.23063109286813752,frozenset({'root vegetables'})
0.022832221652129298,frozenset({'salt'})
0.06926629040533606,frozenset({'salty snack'})
0.011287839917906618,frozenset({'sauces'})
0.2060030785017958,frozenset({'sausage'})
0.025910723447922012,frozenset({'seasonal products'})
0.03617239610056439,frozenset({'semi-finished bread'})
0.16829143150333503,frozenset({'shopping bags'})
0.051821446895844024,frozenset({'sliced cheese'})
0.3134940995382247,frozenset({'soda'})
0.037711646998460746,frozenset({'soft cheese'})
0.01051821446895844,frozenset({'softener'})
0.012314007183170857,frozenset({'soups'})
0.011800923550538737,frozenset({'sparkling wine'})
0.052591072344792204,frozenset({'specialty bar'})
0.018214468958440224,frozenset({'specialty cheese'})
0.05849153412006157,frozenset({'specialty chocolate'})
0.010005130836326322,frozenset({'spices'})
0.025141097998973832,frozenset({'spread cheese'})
0.0659312467932273,frozenset({'sugar'})
0.017444843509492047,frozenset({'sweet spreads'})
0.2337095946639302,frozenset({'tropical fruit'})
0.020010261672652643,frozenset({'turkey'})
0.012827090815802977,frozenset({'vinegar'})
0.06900974858902001,frozenset({'waffles'})
0.15469471523858389,frozenset({'whipped/sour cream'})
0.0887634684453566,frozenset({'white bread'})
0.044125192406362236,frozenset({'white wine'})
0.4581836839404823,frozenset({'whole milk'})
0.28296562339661363,frozenset({'yogurt'})
0.01539250897896357,frozenset({'zwieback'})
0.01051821446895844,"frozenset({'UHT-milk', 'beef'})"
0.014879425346331451,"frozenset({'bottled beer', 'UHT-milk'})"
0.02129297075423294,"frozenset({'UHT-milk', 'bottled water'})"
0.012314007183170857,"frozenset({'UHT-milk', 'brown bread'})"
0.01051821446895844,"frozenset({'butter', 'UHT-milk'})"
0.014879425346331451,"frozenset({'canned beer', 'UHT-milk'})"
0.01051821446895844,"frozenset({'chicken', 'UHT-milk'})"
0.013083632632119035,"frozenset({'citrus fruit', 'UHT-milk'})"
0.012827090815802977,"frozenset({'coffee', 'UHT-milk'})"
0.01051821446895844,"frozenset({'UHT-milk', 'cream cheese '})"
0.013596716264751155,"frozenset({'UHT-milk', 'curd'})"
0.013083632632119035,"frozenset({'UHT-milk', 'domestic eggs'})"
0.015135967162647512,"frozenset({'frankfurter', 'UHT-milk'})"
0.011287839917906618,"frozenset({'UHT-milk', 'frozen vegetables'})"
0.011287839917906618,"frozenset({'fruit/vegetable juice', 'UHT-milk'})"
0.011800923550538737,"frozenset({'margarine', 'UHT-milk'})"
0.0107747562852745,"frozenset({'newspapers', 'UHT-milk'})"
0.038994356080041044,"frozenset({'UHT-milk', 'other vegetables'})"
0.014366341713699333,"frozenset({'pastry', 'UHT-milk'})"
0.01718830169317599,"frozenset({'UHT-milk', 'pip fruit'})"
0.0107747562852745,"frozenset({'UHT-milk', 'pork'})"
0.0310415597742432,"frozenset({'UHT-milk', 'rolls/buns'})"
0.02103642893791688,"frozenset({'UHT-milk', 'root vegetables'})"
0.018471010774756286,"frozenset({'UHT-milk', 'sausage'})"
0.016675218060543867,"frozenset({'UHT-milk', 'shopping bags'})"
